Feature,Mean |SHAP|
cp_3,0.9391621758331267
ca,0.608327568557385
thal_2,0.5778485889893326
oldpeak_slope,0.49130847707669784
sex,0.4856704503810689
chol,0.4523482817955653
thalach,0.38530017526649046
slope_1,0.24229831258931775
high_risk_flag,0.20661515088140758
fbs,0.2036133995724909
restecg_2,0.17355266526982582
cp_1,0.16809893102898224
chol_age_ratio,0.1562779116540687
age_group,0.11914944432950983
trestbps,0.10346874523469754
age,0.0916896299077403
cp_2,0.07759280579812541
thalach_pct_max,0.07454076699635108
oldpeak,0.044541411113717636
thal_1,0.03708763851949442
slope_2,0.02297705570537931
exang,0.019082969057821204
restecg_1,0.003327367762253554
